,x,y,z,Concentration
0,102.65328139014298,-42.520381373898864,10.0,19942860.966390584
1,102.65328139014298,42.520381373898864,10.0,21710818.640904754
2,205.30656278028596,-85.04076274779773,10.0,7684521.887208956
3,205.30656278028596,85.04076274779773,10.0,7599424.974479394
4,307.95984417042894,-127.56114412169661,10.0,3028361.2309048343
5,330.48162045793686,-43.50873074001721,10.0,6736788643.498211
6,330.48162045793686,43.508730740017185,10.0,6734918048.85421
7,307.95984417042894,127.56114412169661,10.0,5166378.49828259
8,410.6131255605719,-170.08152549559546,10.0,2438806.2116953656
9,435.90456906810243,-86.70680978494589,10.0,1320513172.8429117
10,435.90456906810243,86.70680978494589,10.0,1320846637.3463616
11,410.6131255605719,170.08152549559546,10.0,1337854.0503182656
12,513.2664069507149,-212.60190686949431,10.0,1355650.1949310603
13,540.2055113320425,-129.69186880883632,10.0,356798521.78317106
14,553.8429631850711,-43.58838651546941,10.0,4424206325.021564
15,553.8429631850711,43.58838651546941,10.0,4422156945.526358
16,540.2055113320425,129.69186880883632,10.0,356079250.418671
17,513.2664069507149,212.60190686949431,10.0,195649.593528302
18,615.9196883408579,-255.12228824339323,10.0,292001.82896400825
19,643.950550859379,-172.54603006834722,10.0,124429176.78614737
20,660.9632409158737,-87.01746148003441,10.0,1796698632.9228373
21,660.9632409158737,87.01746148003437,10.0,1795296634.5722697
22,643.950550859379,172.54603006834714,10.0,124548810.19835714
23,615.9196883408579,255.12228824339323,10.0,943301.5608310616
24,718.5729697310009,-297.6426696172921,10.0,1517.9913737049958
25,747.3801392906331,-215.31650888599395,10.0,54613546.563201964
26,766.7885699586279,-130.2826181259061,10.0,754254553.2683661
27,776.5541894583018,-43.61034785114917,10.0,2660203122.9307175
28,776.5541894583018,43.61034785114917,10.0,2661285091.301011
29,766.7885699586279,130.2826181259061,10.0,754452272.4542015
30,747.3801392906331,215.31650888599395,10.0,53612354.90028892
31,718.5729697310009,297.6426696172921,10.0,119441.45105093959
32,821.2262511211438,-340.1630509911909,10.0,2053014.3675241685
33,850.6136317619635,-258.03082422618877,10.0,27108038.187735528
34,871.8091381362049,-173.41361956989178,10.0,340290822.84494513
35,884.6086459308417,-87.12634695960942,10.0,1483862020.4235022
36,884.6086459308417,87.12634695960942,10.0,1483229325.835419
37,871.8091381362049,173.41361956989178,10.0,343440207.0840445
38,850.6136317619635,258.03082422618877,10.0,25670217.57513427
39,821.2262511211438,340.1630509911909,10.0,503246.2447751105
40,923.8795325112867,-382.6834323650898,10.0,706102.6775641132
41,953.716950748227,-300.7057995042731,10.0,15133070.919132486
42,976.2960071199334,-216.43961393810287,10.0,170214980.22500795
43,991.4448613738103,-130.5261922200516,10.0,807765239.5963244
44,999.0482215818578,-43.61938736533601,10.0,1722944805.9399142
45,999.0482215818578,43.61938736533601,10.0,1723971967.5613835
46,991.4448613738103,130.52619222005154,10.0,806965373.205362
47,976.2960071199334,216.43961393810284,10.0,167549912.65375754
48,953.716950748227,300.7057995042731,10.0,15420348.936350334
49,923.8795325112867,382.6834323650898,10.0,64739.75419836357
